customer_id,customer_name,age,gender,city,area,preferred_cuisine,avg_monthly_orders,is_premium_user,joined_year
C10034,Aditya Khanna,34,Female,Mumbai,Andheri West,North Indian,8,True,2020
C10035,Anjali Shah,38,Male,Bangalore,Indiranagar,Chinese,7,False,2023
C10036,Meera Tiwari,37,Female,Bangalore,Hebbal,North Indian,1,False,2022
C10037,Ravi Gupta,23,Male,Bangalore,Malleshwaram,North Indian,9,True,2019
C10038,Sneha Singh,27,Female,Mumbai,Colaba,South Indian,4,False,2020
C10039,Kunal Yadav,26,Male,Delhi,Connaught Place,Street Food,1,False,2020
C10040,Manish Chauhan,28,Female,Hyderabad,Madhapur,North Indian,1,False,2023
C10041,Vikas Kumar,36,Male,Mumbai,Versova,North Indian,10,True,2019
C10042,Priya Patel,40,Female,Delhi,Rohini,Chinese,3,False,2021
C10043,Swati Kulkarni,32,Female,Bangalore,Jayanagar,Biryani,7,False,2020
C10044,Mohit Iyer,24,Male,Mumbai,Borivali,South Indian,4,False,2023
C10045,Neha Khanna,29,Female,Mumbai,Bandra West,North Indian,3,False,2020
C10046,Rahul Shetty,42,Male,Pune,Hadapsar,Maharashtrian,2,False,2017
C10047,Vivek Kapoor,30,Female,Pune,Camp,North Indian,1,True,2018
C10048,Ashish Srivastava,27,Female,Bangalore,Electronic City,Continental,3,False,2023
C10049,Kavya Saxena,28,Male,Mumbai,Lower Parel,North Indian,2,False,2018
C10050,Divya Chopra,32,Male,Pune,Hinjewadi,Maharashtrian,7,True,2023
C10051,Meera Chauhan,23,Male,Mumbai,Powai,Seafood,13,False,2019
C10052,Rahul Das,25,Female,Mumbai,Borivali,Chinese,8,False,2017
C10053,Ashish Malhotra,37,Male,Pune,Kharadi,South Indian,8,False,2021
C10054,Preeti Malhotra,32,Female,Bangalore,MG Road,Continental,1,False,2019
C10055,Sanjay Dubey,30,Male,Bangalore,MG Road,Chinese,8,False,2017
C10056,Deepak Kulkarni,37,Male,Mumbai,Lower Parel,North Indian,11,False,2023
C10057,Mohit Jain,24,Male,Kolkata,Shyambazar,Chinese,1,False,2019
C10058,Mohit Rao,27,Male,Bangalore,JP Nagar,North Indian,2,True,2021
C10059,Isha Singh,32,Male,Kolkata,Esplanade,Seafood,1,False,2018
C10060,Deepak Shah,32,Male,Hyderabad,Gachibowli,Biryani,3,False,2023
C10061,Neha Bhatia,18,Female,Mumbai,Andheri West,Street Food,1,True,2020
C10062,Anjali Rathore,26,Female,Bangalore,Jayanagar,North Indian,2,False,2017
C10063,Pallavi Shetty,28,Male,Hyderabad,Secunderabad,Street Food,3,True,2023
C10064,Anjali Kulkarni,33,Male,Delhi,Rohini,Street Food,6,False,2019
C10065,Kavya Mehra,32,Female,Mumbai,Versova,Street Food,16,False,2017
C10066,Arjun Iyer,29,Female,Mumbai,Kurla,Seafood,1,False,2020
C10067,Ravi Patel,18,Male,Delhi,Saket,Chinese,1,True,2019
C10068,Sanjay Srivastava,29,Female,Delhi,Hauz Khas,North Indian,1,False,2022
C10069,Sanjay Mehra,30,Female,Pune,Aundh,Chinese,1,False,2021
C10070,Ananya Naik,49,Male,Chennai,Sholinganallur,Chinese,1,False,2020
C10071,Ritika Sen,28,Male,Chennai,T Nagar,Chinese,1,True,2019
C10072,Rekha Kumar,32,Female,Delhi,Karol Bagh,North Indian,3,False,2018
C10073,Harish Naik,39,Female,Chennai,ECR,Chinese,1,False,2019
C10074,Vivek Gupta,36,Female,Hyderabad,Kondapur,South Indian,6,True,2017
C10075,Rohan Joshi,41,Male,Chennai,OMR,South Indian,5,False,2017
C10076,Vivek Gupta,18,Male,Hyderabad,Kukatpally,Tandoor,3,False,2023
C10077,Kiran Sharma,22,Male,Bangalore,Indiranagar,Chinese,1,False,2020
C10078,Siddharth Patil,25,Male,Mumbai,Malad West,Tandoor,4,False,2019
C10079,Suresh Desai,18,Female,Hyderabad,Somajiguda,Street Food,5,True,2020
C10080,Kiran Das,30,Male,Delhi,Greater Kailash,Bengali,1,True,2017
C10081,Deepak Singh,22,Female,Delhi,Khan Market,Street Food,13,False,2018
C10082,Kiran Patil,42,Female,Hyderabad,LB Nagar,Street Food,1,False,2021
C10083,Ritika Agarwal,23,Female,Mumbai,Borivali,Street Food,12,True,2019
C10084,Pallavi Shah,27,Male,Delhi,Saket,Mughlai,10,False,2018
C10085,Vivek Kapoor,36,Female,Mumbai,Colaba,North Indian,8,True,2019
C10086,Vivek Agarwal,20,Male,Mumbai,Kandivali,Continental,4,False,2019
C10087,Anjali Chawla,18,Male,Pune,Magarpatta,Maharashtrian,1,False,2021
C10088,Rahul Mehta,31,Female,Mumbai,Dadar,South Indian,11,False,2020
C10089,Suresh Yadav,32,Male,Bangalore,Yelahanka,Continental,2,False,2023
C10090,Vivek Saxena,36,Female,Delhi,Khan Market,Fast Food,2,False,2022
C10091,Varun Malhotra,34,Female,Bangalore,Marathahalli,Chinese,10,False,2018
C10092,Tanvi Desai,32,Female,Mumbai,Versova,North Indian,7,False,2023
C10093,Suresh Chauhan,24,Male,Bangalore,Koramangala,Chinese,1,False,2020
C10094,Vikas Saxena,31,Female,Mumbai,Malad West,Street Food,11,False,2019
C10095,Aditya Sen,32,Male,Delhi,Janakpuri,Mughlai,1,False,2020
C10096,Sneha Khanna,24,Male,Mumbai,Lower Parel,South Indian,1,True,2021
C10097,Arjun Sen,44,Female,Mumbai,Kandivali,Seafood,5,False,2021
C10098,Simran Mehta,33,Male,Kolkata,Shyambazar,Chinese,1,False,2018
C10099,Pooja Malhotra,22,Female,Bangalore,Jayanagar,South Indian,1,False,2018
C10100,Alok Desai,36,Female,Kolkata,New Town,Bengali,6,True,2022
C10101,Neha Rao,37,Female,Bangalore,MG Road,Continental,5,False,2019
C10102,Vishal Shah,33,Female,Delhi,Saket,Mughlai,4,True,2022
C10103,Aarav Saxena,28,Female,Hyderabad,Dilsukhnagar,Tandoor,1,False,2018
C10104,Gaurav Kumar,23,Female,Delhi,Connaught Place,Mughlai,1,False,2021
C10105,Siddharth Rathore,29,Female,Hyderabad,Miyapur,Fast Food,11,False,2021
C10106,Tanvi Kulkarni,32,Female,Kolkata,Gariahat,Seafood,4,True,2023
C10107,Lakshmi Rathore,30,Female,Delhi,Nehru Place,Tandoor,4,False,2020
C10108,Puja Joshi,41,Male,Pune,Aundh,South Indian,3,False,2022
C10109,Simran Yadav,35,Male,Bangalore,BTM Layout,South Indian,1,False,2017
C10110,Mohit Patel,23,Male,Mumbai,Goregaon,Seafood,1,True,2023
C10111,Shreya Joshi,21,Female,Mumbai,Powai,South Indian,14,False,2022
C10112,Meera Bose,33,Male,Mumbai,Juhu,Mughlai,15,False,2023
C10113,Ravi Joshi,28,Female,Pune,Shivajinagar,Fast Food,1,False,2018
C10114,Deepak Mehta,35,Female,Delhi,Connaught Place,Mughlai,13,False,2017
C10115,Anjali Desai,33,Male,Bangalore,Sarjapur Road,South Indian,16,True,2023
C10116,Suresh Mehra,29,Male,Bangalore,MG Road,Seafood,9,False,2019
C10117,Rekha Shah,23,Male,Bangalore,Electronic City,Chinese,9,False,2022
C10118,Aditya Iyer,18,Male,Bangalore,Koramangala,South Indian,1,False,2019
C10119,Aarav Naik,31,Female,Delhi,Karol Bagh,Street Food,13,False,2017
C10120,Kunal Joshi,20,Female,Chennai,Sholinganallur,Chinese,5,False,2019
C10121,Ashish Naik,22,Male,Hyderabad,Mehdipatnam,Biryani,4,False,2018
C10122,Pallavi Iyer,31,Male,Mumbai,Kurla,Seafood,23,False,2021
C10123,Sachin Kapoor,30,Female,Kolkata,Jadavpur,North Indian,10,False,2020
C10124,Swati Chawla,20,Male,Mumbai,Kurla,Seafood,6,True,2020
C10125,Alok Agarwal,38,Female,Chennai,Anna Nagar,South Indian,2,False,2017
C10126,Shreya Mehta,38,Female,Hyderabad,Jubilee Hills,Biryani,1,False,2018
C10127,Sachin Desai,34,Male,Pune,Kothrud,Maharashtrian,10,False,2017
C10128,Aarav Kapoor,34,Male,Bangalore,BTM Layout,Biryani,12,False,2017
C10129,Suresh Banerjee,34,Male,Kolkata,Dum Dum,Seafood,8,False,2023
C10130,Varun Naik,55,Male,Kolkata,Howrah,Chinese,5,False,2018
C10131,Deepak Deshpande,37,Female,Mumbai,Colaba,Chinese,11,True,2022
C10132,Shreya Patel,35,Male,Pune,Aundh,Continental,2,False,2022
C10133,Preeti Joshi,23,Male,Hyderabad,Kukatpally,Street Food,4,False,2017
C10134,Divya Agarwal,28,Female,Bangalore,Yelahanka,Pizza,1,False,2019
C10135,Rekha Chopra,48,Female,Delhi,Greater Kailash,Fast Food,1,True,2022
C10136,Varun Bhatia,18,Male,Delhi,Saket,Street Food,4,False,2017
C10137,Shreya Patil,26,Female,Hyderabad,Ameerpet,North Indian,1,True,2017
C10138,Priya Shah,38,Female,Hyderabad,Mehdipatnam,Tandoor,3,True,2017
C10139,Isha Yadav,24,Male,Chennai,Chromepet,Seafood,4,False,2017
C10140,Harish Bose,35,Male,Bangalore,Jayanagar,Biryani,1,False,2019
C10141,Sneha Chopra,30,Male,Delhi,Connaught Place,North Indian,3,False,2019
C10142,Swati Verma,24,Male,Hyderabad,Ameerpet,Street Food,5,False,2019
C10143,Rahul Gupta,18,Male,Delhi,Janakpuri,Chinese,7,False,2020
C10144,Rohan Iyer,31,Male,Kolkata,Jadavpur,Chinese,1,True,2021
C10145,Rohan Kulkarni,23,Female,Hyderabad,Jubilee Hills,Tandoor,1,True,2022
C10146,Priya Ghosh,29,Male,Bangalore,Jayanagar,North Indian,16,True,2023
C10147,Shreya Rathore,34,Female,Delhi,South Extension,Biryani,2,False,2023
C10148,Amit Bhatia,36,Male,Delhi,Lajpat Nagar,Bengali,1,False,2023
C10149,Ananya Jain,26,Female,Delhi,Pitampura,North Indian,3,False,2020
C10150,Nisha Saxena,24,Female,Bangalore,Malleshwaram,Chinese,6,False,2022
C10151,Nisha Kumar,19,Female,Chennai,Velachery,Biryani,15,False,2018
C10152,Mohit Khanna,37,Male,Chennai,Chromepet,South Indian,6,False,2022
C10153,Neha Mehra,46,Male,Pune,Shivajinagar,Fast Food,2,False,2021
C10154,Harish Deshpande,38,Female,Pune,Shivajinagar,North Indian,1,True,2022
C10155,Vivek Kapoor,40,Female,Delhi,Vasant Kunj,Street Food,1,False,2018
C10156,Aditya Rathore,24,Female,Bangalore,Hebbal,Maharashtrian,1,False,2020
C10157,Rekha Bose,33,Female,Hyderabad,Mehdipatnam,Street Food,3,False,2018
C10158,Gaurav Mehta,36,Female,Mumbai,Lower Parel,North Indian,1,True,2021
C10159,Aditya Singh,18,Female,Bangalore,Hebbal,Biryani,1,False,2022
C10160,Nikhil Tiwari,21,Male,Hyderabad,Jubilee Hills,Biryani,2,False,2018
C10161,Aarav Bose,43,Male,Hyderabad,Miyapur,Street Food,5,False,2023
C10162,Manish Desai,18,Female,Pune,JM Road,North Indian,1,False,2022
C10163,Bhavna Das,41,Female,Pune,Camp,Chinese,3,False,2020
C10164,Siddharth Kulkarni,18,Female,Chennai,T Nagar,North Indian,9,False,2017
C10165,Lakshmi Patel,22,Male,Kolkata,Shyambazar,North Indian,1,False,2021
C10166,Pooja Ghosh,33,Female,Hyderabad,Mehdipatnam,Biryani,5,False,2022
C10167,Alok Rathore,30,Female,Delhi,Janakpuri,Mughlai,14,False,2019
C10168,Alok Shetty,26,Female,Hyderabad,Ameerpet,Street Food,4,False,2017
C10169,Bhavna Reddy,42,Female,Mumbai,Malad West,Chinese,3,True,2022
C10170,Vishal Singh,20,Male,Bangalore,Sarjapur Road,North Indian,3,False,2021
C10171,Aditya Verma,28,Female,Kolkata,Jadavpur,Seafood,16,False,2020
C10172,Gaurav Agarwal,34,Female,Delhi,Janakpuri,North Indian,11,False,2023
C10173,Lakshmi Rao,32,Female,Hyderabad,HITEC City,Chinese,1,False,2023
C10174,Bhavna Ghosh,25,Male,Hyderabad,Banjara Hills,Street Food,1,False,2018
C10175,Priya Dubey,25,Female,Chennai,ECR,South Indian,1,False,2021
C10176,Sunita Shetty,36,Female,Mumbai,Lower Parel,South Indian,5,False,2023
C10177,Ashish Singh,37,Male,Hyderabad,Secunderabad,Biryani,6,False,2020
C10178,Rajesh Desai,32,Male,Bangalore,Electronic City,Continental,8,True,2017
C10179,Bhavna Bhat,23,Female,Pune,Camp,North Indian,6,True,2023
C10180,Lakshmi Joshi,25,Female,Delhi,Nehru Place,Mughlai,8,False,2021
C10181,Rohan Chauhan,29,Female,Bangalore,Koramangala,Chinese,2,False,2017
C10182,Kavya Pandey,30,Female,Hyderabad,Miyapur,South Indian,7,False,2021
C10183,Vivek Nair,34,Male,Bangalore,Jayanagar,Continental,9,True,2017
C10184,Isha Agarwal,28,Male,Mumbai,Lower Parel,Bengali,2,False,2021
C10185,Kunal Chawla,36,Female,Hyderabad,Begumpet,Mughlai,1,False,2018
C10186,Ashish Sen,36,Female,Delhi,Rohini,Street Food,11,False,2018
C10187,Divya Singh,40,Female,Delhi,Lajpat Nagar,Mughlai,1,False,2023
C10188,Gaurav Tiwari,30,Male,Hyderabad,Banjara Hills,Street Food,11,False,2017
C10189,Amit Agarwal,32,Female,Delhi,Hauz Khas,Street Food,15,False,2018
C10190,Nisha Malhotra,28,Male,Bangalore,Jayanagar,Continental,4,False,2022
C10191,Shreya Sen,23,Female,Hyderabad,Madhapur,Street Food,1,False,2018
C10192,Rekha Iyer,46,Female,Chennai,Tambaram,Biryani,1,False,2020
C10193,Lakshmi Verma,39,Female,Bangalore,Bellandur,Chinese,7,False,2017
C10194,Tarun Kapoor,36,Male,Bangalore,Sarjapur Road,Desserts & Beverages,7,False,2018
C10195,Arjun Chopra,29,Female,Mumbai,Worli,Seafood,1,True,2019
C10196,Suresh Malhotra,22,Male,Mumbai,Kurla,Chinese,3,True,2023
C10197,Lakshmi Srivastava,37,Female,Pune,Hinjewadi,Chinese,2,False,2017
C10198,Simran Gupta,28,Female,Delhi,Vasant Kunj,Fast Food,1,False,2017
C10199,Deepak Das,33,Female,Mumbai,Andheri West,Seafood,4,False,2017
C10200,Varun Jain,25,Male,Mumbai,Bandra West,Street Food,1,True,2020
C10201,Rekha Desai,31,Female,Kolkata,Gariahat,Seafood,1,False,2022
C10202,Aarav Joshi,25,Female,Bangalore,Whitefield,South Indian,8,False,2023
C10203,Amit Iyer,26,Male,Hyderabad,HITEC City,Street Food,1,False,2021
C10204,Suresh Bhatia,31,Female,Kolkata,Lake Town,Bengali,21,False,2019
C10205,Meera Shetty,18,Female,Bangalore,Malleshwaram,North Indian,8,True,2019
C10206,Arjun Patel,18,Female,Bangalore,Indiranagar,South Indian,14,False,2023
C10207,Tanvi Naik,24,Male,Kolkata,Dum Dum,Chinese,7,True,2017
C10208,Ritika Khanna,28,Female,Hyderabad,LB Nagar,North Indian,4,False,2018
C10209,Nisha Shetty,36,Female,Pune,Magarpatta,South Indian,1,False,2019
C10210,Kiran Singh,28,Female,Delhi,Karol Bagh,North Indian,3,False,2023
C10211,Shreya Ghosh,29,Female,Delhi,Janakpuri,Chinese,1,False,2023
C10212,Rohan Bhat,27,Male,Delhi,Khan Market,Chinese,1,False,2023
C10213,Tanvi Ghosh,32,Male,Bangalore,Hebbal,Fast Food,6,True,2017
C10214,Kunal Deshpande,23,Female,Hyderabad,Dilsukhnagar,Tandoor,4,False,2022
C10215,Tarun Reddy,29,Male,Pune,FC Road,Chinese,1,False,2019
C10216,Ashish Mishra,33,Female,Hyderabad,LB Nagar,North Indian,10,False,2017
C10217,Swati Pillai,31,Male,Mumbai,Worli,Street Food,1,False,2022
C10218,Simran Sen,30,Female,Delhi,Khan Market,Mughlai,4,False,2021
C10219,Vikas Agarwal,30,Male,Mumbai,Juhu,Chinese,4,False,2017
C10220,Anjali Chauhan,33,Female,Bangalore,Malleshwaram,Continental,5,True,2018
C10221,Gaurav Gupta,47,Female,Pune,JM Road,North Indian,4,False,2023
C10222,Pallavi Mehta,23,Female,Delhi,Connaught Place,Fast Food,11,False,2019
C10223,Varun Kulkarni,47,Male,Hyderabad,Kondapur,Tandoor,1,True,2019
C10224,Siddharth Bhatia,23,Female,Bangalore,Koramangala,Biryani,1,False,2020
C10225,Rohan Chopra,18,Male,Mumbai,Kandivali,Chinese,4,False,2021
C10226,Sanjay Ghosh,25,Male,Delhi,South Extension,Chinese,1,True,2019
C10227,Mohit Tiwari,32,Female,Bangalore,Whitefield,Biryani,1,True,2021
C10228,Gaurav Yadav,45,Male,Mumbai,Goregaon,South Indian,8,False,2022
C10229,Siddharth Singh,22,Male,Chennai,OMR,Biryani,12,False,2020
C10230,Simran Patel,33,Male,Bangalore,Marathahalli,Continental,8,True,2020
C10231,Alok Malhotra,19,Female,Pune,Kharadi,Maharashtrian,13,False,2020
C10232,Divya Mehta,44,Female,Bangalore,Whitefield,Chinese,10,False,2017
C10233,Aditya Hegde,39,Female,Delhi,Janakpuri,Fast Food,21,True,2021
C10234,Isha Sen,26,Male,Bangalore,Marathahalli,South Indian,1,False,2023
C10235,Varun Patel,18,Male,Bangalore,Malleshwaram,South Indian,17,False,2019
C10236,Gaurav Desai,40,Male,Pune,Shivajinagar,North Indian,9,False,2023
C10237,Rohan Singh,29,Female,Pune,Shivajinagar,Desserts & Beverages,2,False,2019
C10238,Alok Tiwari,39,Male,Kolkata,Lake Town,Street Food,1,False,2018
C10239,Vivek Mehra,30,Male,Delhi,Connaught Place,Mughlai,7,False,2023
C10240,Meera Das,30,Female,Delhi,Greater Kailash,Mughlai,14,False,2022
C10241,Divya Pandey,26,Male,Delhi,Vasant Kunj,Biryani,2,False,2022
C10242,Amit Chatterjee,34,Female,Pune,Koregaon Park,South Indian,1,False,2017
C10243,Rahul Mehta,30,Male,Bangalore,MG Road,Mughlai,1,True,2022
C10244,Nisha Sharma,34,Female,Chennai,Tambaram,Seafood,5,True,2021
C10245,Aarav Banerjee,18,Female,Bangalore,HSR Layout,South Indian,1,True,2019
C10246,Priya Naik,40,Male,Mumbai,Worli,Chinese,5,False,2019
C10247,Rekha Pandey,42,Male,Pune,Shivajinagar,North Indian,3,False,2017
C10248,Tarun Bhatia,30,Female,Bangalore,BTM Layout,South Indian,9,False,2021
C10249,Ananya Reddy,46,Female,Mumbai,Borivali,Street Food,10,True,2019
C10250,Varun Kumar,44,Male,Mumbai,Kandivali,Biryani,2,False,2022
C10251,Kavya Deshpande,35,Male,Delhi,Pitampura,North Indian,6,False,2021
C10252,Tanvi Nair,40,Female,Bangalore,Malleshwaram,Chinese,1,False,2017
C10253,Swati Patel,38,Male,Hyderabad,Madhapur,Seafood,2,False,2018
C10254,Harish Srivastava,18,Female,Bangalore,HSR Layout,North Indian,2,True,2023
C10255,Ravi Kapoor,27,Female,Mumbai,Goregaon,Chinese,3,False,2020
C10256,Harish Naik,35,Female,Chennai,OMR,Chinese,7,True,2022
C10257,Preeti Dubey,43,Female,Hyderabad,Miyapur,Street Food,9,False,2023
C10258,Preeti Banerjee,18,Female,Delhi,Hauz Khas,Street Food,14,False,2017
C10259,Vikas Reddy,18,Female,Hyderabad,Miyapur,South Indian,3,False,2023
C10260,Ashish Yadav,29,Male,Mumbai,Powai,Street Food,19,False,2021
C10261,Simran Nair,18,Female,Pune,Viman Nagar,Chinese,5,False,2022
C10262,Isha Agarwal,29,Male,Bangalore,JP Nagar,North Indian,1,False,2020
C10263,Gaurav Naik,32,Male,Bangalore,Bellandur,South Indian,1,True,2018
C10264,Rajesh Bose,22,Female,Bangalore,Electronic City,Chinese,2,False,2020
C10265,Ravi Mishra,29,Male,Mumbai,Borivali,Chinese,5,True,2021
C10266,Aditya Reddy,37,Female,Mumbai,Dadar,Seafood,1,True,2022
C10267,Sunita Sen,25,Female,Mumbai,Malad West,Seafood,1,False,2022
C10268,Nisha Chawla,23,Female,Hyderabad,Jubilee Hills,Biryani,1,False,2020
C10269,Amit Mishra,29,Male,Chennai,T Nagar,Seafood,1,False,2019
C10270,Anjali Reddy,21,Female,Hyderabad,Ameerpet,North Indian,2,True,2020
C10271,Aarav Desai,45,Male,Mumbai,Powai,South Indian,1,False,2020
C10272,Sneha Chopra,30,Male,Mumbai,Borivali,Chinese,8,True,2021
C10273,Preeti Malhotra,24,Female,Delhi,Dwarka,Italian,10,False,2019
C10274,Isha Singh,31,Female,Mumbai,Colaba,Seafood,12,False,2018
C10275,Shreya Jain,29,Male,Mumbai,Lower Parel,North Indian,8,False,2022
C10276,Shreya Pandey,28,Female,Delhi,Karol Bagh,Mughlai,6,True,2020
C10277,Alok Malhotra,25,Male,Mumbai,Kandivali,Continental,2,False,2019
C10278,Nikhil Naik,25,Female,Bangalore,HSR Layout,Continental,3,True,2017
C10279,Amit Mehta,18,Male,Bangalore,BTM Layout,Chinese,3,False,2019
C10280,Kiran Malhotra,40,Female,Pune,Kalyani Nagar,South Indian,6,False,2022
C10281,Vivek Srivastava,34,Female,Mumbai,Andheri West,Street Food,3,False,2019
C10282,Ashish Khanna,32,Male,Bangalore,Marathahalli,Biryani,3,False,2020
C10283,Swati Deshpande,28,Female,Hyderabad,Ameerpet,Biryani,3,False,2019
C10284,Divya Shetty,22,Female,Mumbai,Malad West,South Indian,1,False,2018
C10285,Sanjay Pillai,23,Male,Hyderabad,HITEC City,Street Food,1,False,2018
C10286,Manish Rathore,18,Female,Bangalore,Indiranagar,Chinese,1,False,2017
C10287,Kunal Jain,24,Female,Mumbai,Worli,North Indian,1,False,2018
C10288,Pallavi Saxena,21,Male,Hyderabad,Kondapur,Street Food,11,False,2022
C10289,Sunita Tiwari,43,Male,Bangalore,HSR Layout,Chinese,7,False,2020
C10290,Kunal Singh,37,Male,Delhi,Rajouri Garden,Chinese,3,False,2022
C10291,Amit Jain,30,Male,Bangalore,JP Nagar,Continental,4,False,2021
C10292,Manish Jain,23,Female,Mumbai,Lower Parel,North Indian,6,False,2018
C10293,Anjali Patel,21,Female,Chennai,Chromepet,Chinese,1,False,2019
C10294,Simran Dubey,28,Male,Bangalore,Hebbal,South Indian,2,False,2023
C10295,Suresh Patil,37,Female,Chennai,Nungambakkam,South Indian,2,True,2021
C10296,Aarav Chauhan,45,Female,Mumbai,Kandivali,Chinese,21,True,2023
C10297,Mohit Rao,18,Male,Delhi,Nehru Place,Fast Food,1,False,2020
C10298,Aditya Tiwari,34,Male,Mumbai,Versova,South Indian,1,False,2023
C10299,Rohan Ghosh,24,Female,Chennai,Anna Nagar,Chinese,1,False,2017
C10300,Suresh Pillai,26,Female,Mumbai,Goregaon,Street Food,1,False,2020
C10301,Harish Rathore,30,Female,Mumbai,Dadar,Street Food,2,False,2022
C10302,Lakshmi Ghosh,23,Female,Delhi,Saket,North Indian,20,False,2018
C10303,Tanvi Hegde,28,Female,Chennai,Vadapalani,South Indian,17,False,2022
C10304,Tanvi Pillai,22,Female,Mumbai,Santacruz,Chinese,10,False,2019
C10305,Tarun Iyer,25,Male,Mumbai,Kandivali,North Indian,1,False,2021
C10306,Puja Reddy,36,Male,Pune,Koregaon Park,Chinese,5,False,2018
C10307,Sachin Mehra,30,Female,Hyderabad,Kukatpally,Tandoor,4,False,2018
C10308,Ritika Chauhan,36,Female,Kolkata,Tollygunge,Street Food,1,False,2020
C10309,Puja Patil,24,Male,Hyderabad,LB Nagar,Pizza,1,True,2022
C10310,Sachin Kapoor,34,Female,Hyderabad,LB Nagar,Street Food,2,False,2022
C10311,Arjun Patel,18,Male,Mumbai,Versova,Continental,1,False,2017
C10312,Priya Deshpande,30,Female,Bangalore,Bellandur,Chinese,4,False,2018
C10313,Bhavna Singh,35,Male,Hyderabad,Madhapur,North Indian,1,False,2021
C10314,Bhavna Tiwari,18,Male,Kolkata,Alipore,Bengali,3,False,2019
C10315,Sneha Deshpande,24,Female,Bangalore,Koramangala,Biryani,2,False,2022
C10316,Alok Chatterjee,30,Male,Delhi,Hauz Khas,Mughlai,1,False,2017
C10317,Ravi Shetty,38,Male,Hyderabad,Kondapur,South Indian,1,False,2018
C10318,Divya Srivastava,25,Male,Hyderabad,HITEC City,Street Food,5,False,2019
C10319,Ananya Kumar,34,Male,Mumbai,Dadar,North Indian,3,True,2022
C10320,Vishal Pandey,41,Male,Mumbai,Powai,North Indian,2,False,2023
C10321,Rekha Verma,34,Female,Bangalore,Whitefield,Chinese,8,False,2017
C10322,Aditya Pillai,28,Male,Hyderabad,Begumpet,North Indian,16,True,2020
C10323,Vishal Saxena,32,Male,Chennai,Guindy,North Indian,13,True,2023
C10324,Vivek Malhotra,25,Female,Bangalore,JP Nagar,Continental,1,False,2023
C10325,Sanjay Dubey,30,Female,Bangalore,Malleshwaram,South Indian,4,False,2018
C10326,Suresh Khanna,28,Male,Hyderabad,Dilsukhnagar,Biryani,9,False,2019
C10327,Ashish Iyer,32,Male,Mumbai,Goregaon,Continental,1,False,2018
C10328,Shreya Tiwari,26,Male,Delhi,Saket,South Indian,1,True,2021
C10329,Ananya Kulkarni,33,Female,Delhi,Rohini,Fast Food,5,False,2020
